code,sub-code,quantity,allow-overdraft,stock-close
dl0612-bk,,3,0,0
dl0620,,11,0,0
dl0710s,,0,0,0
dl0712-bk,,44,0,0
dl0720a-bk,,30,0,0
dl0720b-re,,19,0,0
dl0810c,,0,0,0
dl1014,,0,0,0
dl1101b,,0,0,0
dl1102b,,0,0,0
dl1115a,,0,0,0
dl1115b,,0,0,0
DL1210,,0,0,0
dl1416,,0,0,0
DL-150-Y,,0,0,0
DL-150-Y-SALE,,67,0,0
DL1510,,0,0,0
dl-151-ye,,14,0,0
DL2001,,85,0,0
dl2003,,89,0,0
DL22,DL22-re,0,0,0
dl2206,,0,0,0
dl2206-s,,0,0,0
dl-3301,,0,0,0
dl3303,dl3303sl,0,0,0
dl3303,dl3303bk,0,0,0
dl-350,dl-350-re,0,0,0
DL-5,,56,0,0
DL5203C,,0,0,0
DL5205,,83,0,0
dl600c,,0,0,0
dl600c-2,,0,0,0
dl610,,0,0,0
dl610-s,,0,0,0
dl6202,,0,0,0
DL6206,,0,0,0
dl6207,,0,0,0
dl645,,0,0,0
dl647,dl647-bk,0,0,0
dl647,dl647-bl,0,0,0
DL649A,,0,0,0
dl649a-bk,,0,0,0
dl649a-gy-sms,,0,0,0
drill-bit-170pc,,196,0,0
drumcarry,,0,0,0
ds-mc03,,142,0,0
dv-sh-changer-,,14,0,0
dw-hs,,0,0,0
dw-hs400kg,,56,0,0
elct-winch-100-24,,3,0,0
elct-winch-50-12,,0,0,0
elct-winch-60-12,,20,0,0
elct-winch-8000-24v,,26,0,0
electrictrolley500kg,,12,0,0
elect-winch-120-24,,0,0,0
elect-winch-160-24,,0,0,0
elect-winch-168-24,,0,0,0
engine-burowa-b,,7,0,0
engine-pomp001,,87,0,0
engine-spray-b,,6,0,0
enginesprayer-25,,0,0,0
enjine-browa,,23,0,0
e-sprayer,,117,0,0
f25,,0,0,0
fjtlm-multi,,57,0,0
fjtlm-multi-s,,57,0,0
flkt-h1-3512-8k,,0,0,0
flkt-h1-5512-6k,,0,0,0
flkt-h1-5512-8k,,0,0,0
flkt-h3-3512-6k,,0,0,0
flkt-h4-3512-6k07,,0,0,0
flkt-h4-3512-6k-N,,0,0,0
flkt-h4-3512-8k-N,,0,0,0
flkt-h4-5512-6k-N,,0,0,0
flkt-h4-5512-6k-n-sale,,0,0,0
flkt-h4-5512-8k-N,,0,0,0
flkt-h4-5512-8k-n-sale,,0,0,0
flkt-h7-3512-6k,,0,0,0
flkt-h7-3512-8k,,0,0,0
flkt-h7-5512-6k,,0,0,0
flkt-h8-5512-6k,,0,0,0
flkt-h8-5512-8k,,0,0,0
flkt-hb3-3512-6k,,0,0,0
flkt-hb3-3512-8k,,0,0,0
flkt-hb3-5512-6k,,0,0,0
flkt-hb3-5512-8k,,0,0,0
flkt-hb4-3512-8k,,0,0,0
flkt-hb4-5512-6k,,0,0,0
flkt-hb4-5512-6k-g,,0,0,0
floor-scl210,,14,0,0
furoa5t1000mm,,24,0,0
furoa5t1500mm,,15,0,0
gas-stove----,gas-stove-red,0,0,0
gas-stove----,gas-stove-black,0,0,0
gas-stove----,gas-stove-green,0,0,0
gear-pooler-a,,15,0,0
gear-pooler-b,,50,0,0
gear-pooler-c-,,32,0,0
gojack001,,0,0,0
grassmower-002,,68,0,0
grassmower-003,,68,0,0
hand-fork-02,,171,0,0
hand-fork-1000kg,,5,0,0
hand-fork-1500kg,,0,0,0
hand-fork-2000kg,,0,0,0
hand-fork-500kg,,0,0,0
hand-remover,,76,0,0
handwinch,,5,0,0
hbrng16-6473,,0,0,0
hbrng25-5473,,1,0,0
hbrng25-5673,,7,0,0
hbrng25-6073,,0,0,0
hbrng25-6473,,0,0,0
hbrng25-6673,,0,0,0
hbrng30-5473,,9,0,0
hbrng30-5673,,15,0,0
hbrng30-6073,,0,0,0
hbrng30-6473,,9,0,0
hbrng30-6673,,0,0,0
hbrng34-6473,,14,0,0
HCL-02,,0,0,0
HCL-13,,13,0,0
HCL-21A,,8,0,0
heat,,163,0,0
hedgetrimmer-001-t,,36,0,0
hedgetrimmer-002,,44,0,0
hid-work-light18A,,28,0,0
hid-work-light20,,29,0,0
hid-work-light27-W,,0,0,0
hid-work-light48W,,19,0,0
hitch-ball,,0,0,0
hitch-ball-4inch,,0,0,0
hitch-ball-6inch,,0,0,0
hitch-pin,,182,0,0
hnd-hyst08,,0,0,0
hnd-hyst08-s,,0,0,0
hnd-hyst16,,0,0,0
hnd-hyst16-s,,0,0,0
holder-tool,,86,0,0
hole-saw-10pc,,21,0,0
hoseclip-pryor-,,11,0,0
hp-001,,30,0,0
hydraulic-cylinder-001,,3,0,0
hydraulic-press-12t,,46,0,0
hydraulic-press-20t,,33,0,0
hydraulic-press-air-20t,DL0720B-BK,18,0,0
hydraulic-pull-lamb-20t,,0,0,0
Hydraulic-puncher-hk8d,,8,0,0
hydraulic-swivel-crane,,0,0,0
hy-prs-06,,54,0,0
hy-prs-06-s,,54,0,0
hyst1000,,0,0,0
hyst400-trolleyset,,6,0,0
hyst500,,13,0,0
hyst600,,0,0,0
hyst800,,1,0,0
income-v4,,0,0,0
income-v4-s,,0,0,0
income-v8-1k,,0,0,0
income-v8-1k-r,,0,0,0
intr1000-1250,,0,0,0
intr1000-1260,,0,0,0
intr1000-2450,,3,0,0
intr1000-2460,,5,0,0
intr1500-1250,,0,0,0
intr1500-1260,,0,0,0
intr1500-2450,,0,0,0
intr1500-2460,,0,0,0
intr2000-1250,,1,0,0
intr2000-1260,,0,0,0
intr2000-2450,,3,0,0
intr2000-2460,,3,0,0
intr2500-1250,,0,0,0
intr2500-1260,,9,0,0
intr2500-2450,,0,0,0
intr2500-2460,,0,0,0
intr3000-1250,,6,0,0
intr3000-1260,,10,0,0
intr3000-2450,,0,0,0
intr3000-2460,,4,0,0
intr300-1250,,0,0,0
intr300-1260,,0,0,0
intr300-2450,,0,0,0
intr300-2460,,0,0,0
intr5000-1250,,0,0,0
intr5000-1260,,0,0,0
intr5000-2450,,3,0,0
intr5000-2460,,0,0,0
intr600-1250-c,,0,0,0
intr600-1260,,0,0,0
intr600-2450,,0,0,0
intr600-2460,,0,0,0
intr800-1250,,8,0,0
intr800-1260,,1,0,0
intr800-2450,,0,0,0
intr800-2460,,0,0,0
jack-gr35-bk,,0,0,0
jackstand001,,0,0,0
jackstand002,,0,0,0
k001-1,,0,0,0
K1030110,,0,0,0
kn-t-l,,0,0,0
kn-t-s,,0,0,0
L1069750,,66,0,0
L1069820,,69,0,0
LA-56,,42,0,0
la-56b,,45,0,0
led-lanthan63-bk-,,16,0,0
led-projector-10b,,0,0,0
led-projector-10d,,0,0,0
led-projector-50w6,,0,0,0
led-ropelight,,5,0,0
led-work-light252,,0,0,0
led-work-light288,,1,0,0
led-work-light324,,2,0,0
l-gjq-1,,48,0,0
lifebuoicomodefens,,149,0,0
lifebuoy,lifebuoycomowh,4,0,0
lifebuoy,lifebuoycomobl,36,0,0
lifebuoy,lifebuoyorange,8,0,0
lifebuoy,lifebuoypink,0,0,0
lifebuoy,lifebuoycomogr,112,0,0
lifebuoy,lifebuoyroyalblue,6,0,0
lifebuoy,lifebuoyblack,0,0,0
lifebuoy,lifebuoynavy,0,0,0
lifebuoy,lifebuoycomodefens,149,0,0
lifebuoybk,,0,0,0
lifebuoybl01,,6,0,0
lifebuoybl02,,0,0,0
lifebuoycomoblue,,36,0,0
lifebuoycomogreen,,112,0,0
lifebuoycomowhite,,4,0,0
lifebuoyor,,8,0,0
lifebuoypk,,0,0,0
lifejacket,lifejacket-comowh,0,0,0
lifejacket,lifejacket-comobl,0,0,0
lifejacket,lifejacket-pi,0,0,0
lifejacket,lifejacket-comogr,0,0,0
lifejacket,lifejacket-bk,0,0,0
lifejacket,lifejacket-navy,0,0,0
lifejacket,lifejacket-comodef,0,0,0
lifmag-100,,16,0,0
lifmag-1000,,23,0,0
lifmag-100-s,,16,0,0
lifmag-600,,5,0,0
lifting-magnet400,,9,0,0
lopelight-blue,,0,0,0
lopelight-cable,,29,0,0
lopelight-cable-flash,,59,0,0
lopelight-green,,20,0,0
lopelight-mix,,9,0,0
lopelight-pink,,18,0,0
lopelight-purple,,44,0,0
lopelight-white,,0,0,0
lopelight-yellow,,0,0,0
LS-29,,0,0,0
LS-31,,3,0,0
LS-42,,4,0,0
LS-43,,9,0,0
LS-88-1,,0,0,0
lsng008t5m01,,0,0,0
lsng015t5m01,,197,0,0
lsng015t6m01,,161,0,0
lsng015t6m01-c,,170,0,0
lsng03t6m01,,441,0,0
lsng03t7m01,,345,0,0
lsng03t8m01,,400,0,0
lsng03t8m01-c,,48,0,0
lsng05t6m01,,0,0,0
LT-1110,,37,0,0
LT-1111,,11,0,0
LT-1112,,1,0,0
lt-a1005,,11,0,0
LT-A1010,,49,0,0
LT-A101010,,136,0,0
LT-A1012,,12,0,0
